	Methods	RMSE_avg	RMSE_std	MAE_avg	MAE_std	R2_avg	R2_std	Pearson_avg	Pearson_std	PR_AUC_avg	PR_AUC_std
0	DecisionTree	1.231	0.001	0.851	0.0	-1.249	0.007	0.204	0.001	0.296	0.0
1	RandomForest	0.847	0.0	0.538	0.0	-0.064	0.0	0.204	0.0	0.247	0.0
2	ExtraTrees	0.907	0.0	0.597	0.0	-0.221	0.0	0.094	0.0	0.243	0.0
3	Bagging	0.842	0.0	0.537	0.0	-0.052	0.001	0.207	0.001	0.263	0.0
4	AdaBoost	0.865	0.0	0.589	0.0	-0.11	0.001	0.155	0.001	0.277	0.0
5	GradientBoost	0.985	0.0	0.689	0.0	-0.439	0.0	0.193	0.0	0.292	0.0
6	SVR	0.786	0.0	0.573	0.0	0.084	0.0	0.335	0.0	0.376	0.0
7	ElasticNet	0.909	0.0	0.64	0.0	-0.225	0.0	0.219	0.0	0.208	0.0
8	Lasso	0.921	0.0	0.701	0.0	-0.258	0.0	0.236	0.0	0.235	0.0
9	MLP	1.397	0.009	0.955	0.006	-1.908	0.153	0.115	0.004	0.218	0.002
